"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 13 03:27:28 UTC 2024","Wed Mar 13 03:28:10 UTC 2024","42732","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed Mar 13 02:47:12 UTC 2024","Wed Mar 13 02:47:15 UTC 2024","2402","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Mar 13 03:16:38 UTC 2024","Wed Mar 13 03:16:38 UTC 2024","379","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Mar 13 02:31:21 UTC 2024","Wed Mar 13 02:31:30 UTC 2024","8721","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Wed Mar 13 02:24:52 UTC 2024","Wed Mar 13 02:24:56 UTC 2024","4007","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Wed Mar 13 02:46:45 UTC 2024","Wed Mar 13 02:46:49 UTC 2024","3361","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Wed Mar 13 02:43:41 UTC 2024","Wed Mar 13 02:43:45 UTC 2024","4081","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Mar 13 02:23:37 UTC 2024","Wed Mar 13 02:23:52 UTC 2024","15359","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed Mar 13 02:29:14 UTC 2024","Wed Mar 13 02:29:26 UTC 2024","11776","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Mar 13 04:32:05 UTC 2024","Wed Mar 13 04:32:30 UTC 2024","25275","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Mar 13 02:22:16 UTC 2024","Wed Mar 13 02:22:16 UTC 2024","23","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Mar 13 03:16:38 UTC 2024","Wed Mar 13 03:16:57 UTC 2024","19050","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed Mar 13 05:04:22 UTC 2024","Wed Mar 13 05:04:44 UTC 2024","22331","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed Mar 13 04:13:06 UTC 2024","Wed Mar 13 04:13:25 UTC 2024","18115","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed Mar 13 02:22:41 UTC 2024","Wed Mar 13 02:23:06 UTC 2024","24856","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Mar 13 02:44:10 UTC 2024","Wed Mar 13 02:44:12 UTC 2024","2347","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Mar 13 02:43:15 UTC 2024","Wed Mar 13 02:43:32 UTC 2024","16856","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Mar 13 03:13:20 UTC 2024","Wed Mar 13 03:13:20 UTC 2024","246","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Mar 13 03:14:11 UTC 2024","Wed Mar 13 03:14:12 UTC 2024","801","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
